,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population)_x,Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Quality Of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Gross domestic savings (% of GDP),High-technology exports (current US$),Human capital index (HCI) (scale 0-1),Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Military expenditure (% of GDP),"Population, female","Population, male",Tax revenue (% of GDP),"Taxes on income, profits and capital gains (% of revenue)",Urban population (% of total population)_y
23,Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,46.6/62.4,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,1.3,14.3/26.0,449.6/4.6,14.4,4.9,7.4,3.3,4.7,101.3/101.9,105.3/105.1,56.7/45.3,10.1,118.9,72.8,66,22.8,42.1/4.3,423,97,100.0/100.0,97.8/98.6,-99,-99,138.82,47.52,61.61,53.46,42.77,11.20,33.09,43.99,66.49,5.43,5.97,18.43,16.76,97.32,1.03,42.77,12.67,28.35,33.62,32.72,47.52,100.0,12430.284766151799,49.1427083392061,,26066294.0,26887572029.5942,18639180669.2928,114.450017176228,2.3123718973044505,6.879989802837371,87.143096211555,30.137444048535198,16903987958.0,0.703,79.8541973019801,2.34824281150159,79.3,72.5,75.8170731707317,1.05016762431816,5133501.0,4654465.0,23.1775351555229,17.0302284164738,71.062
24,India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,27.0/79.1,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,27.8/9.4,5241.0/0.4,211.1,41.3,4.7,0.7,3.8,115.1/102.8,74.5/73.5,26.7/27.0,11.8,78.8,26.0,1052,23.7,2238.4/1.7,23103,27,97.1/92.6,62.6/28.5,0.16,-99,101.52,76.73,56.04,69.18,25.08,10.28,46.38,76.53,9.30,3.08,3.81,32.44,26.24,123.44,0.81,25.08,6.77,16.31,25.20,16.38,76.73,92.6,1724.84357225624,50.289637256324504,2407.0981070000003,139752424.0,184672831370.242,108735877735.935,159.829464708669,-1.43879339568494,3.5349596291780494,18.7826851657717,30.2335763460221,15161028362.0,0.44,21.940126113982,2.49088699878493,70.425,68.0,69.165,2.50962455841482,642787641.0,695871194.0,11.1799218352875,44.15729341953771,33.6
25,Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,51.0/83.7,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,27.4/8.6,328.8/0.1,13.8,25.0,2.8,0.2,3.6,104.4/107.2,86.0/85.7,25.7/22.9,19.8,132.4,22.0,1281,50.6,464.2/1.8,19481,35,94.2/79.5,72.3/47.5,0.00,-99,62.02,27.61,50.32,64.80,41.11,21.03,49.44,76.41,9.62,4.67,4.94,21.41,20.26,247.68,0.40,41.11,11.66,26.99,45.80,20.29,27.61,98.14,3136.52441830271,48.3610188883414,1052.36048,108393123.0,24665052782.0696,32591673212.1994,142.182412273917,-1.5946569023963202,2.98905447125435,20.177304435110603,33.6038558737747,5974888118.0,0.535,19.17819263535,3.8087980695316297,73.515,69.156,71.282,0.804336712672088,131375660.0,133270226.0,9.8772930803788,38.8197326535585,54.659
26,Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,16.3/73.2,106,107,45627,35333,10294,-99,1.2,73.4,2.1,1.7,23.7/8.8,2726.4/3.4,978.3,14.8,7.5,1.5,2.9,111.7/106.3,88.9/89.4,67.7/75.9,5.9,93.4,44.1,134,6.6,649.5/8.3,13291,127,97.7/92.1,92.8/82.3,0.02,-99,97.17,43.18,49.10,51.55,38.26,13.50,49.70,82.51,71.48,6.10,8.12,16.39,12.31,275.34,0.36,38.26,17.05,28.09,33.53,33.17,43.18,100.0,4523.723568531311,43.444339449111396,325.668724283288,26858178.78,,,333.673322422363,,8.659663796424871,24.9421768507619,38.9462495748058,278924957.0,0.591,23.8384608001943,8.04492437660281,77.436,75.217,76.271,3.10518416947631,39854933.0,40819018.0,,,74.39399999999999
27,Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,51.9/67.1,102,102,129315,76997,52318,28967,0.3,63.2,1.6,2.0,21.6/19.1,746.3/15.9,10.5,3.4,7.8,2.8,5.3,102.0/100.9,129.4/125.6,87.6/80.1,22.2,103.7,80.1,50,10.9,34.1/7.3,84,114,97.9/97.8,89.1/92.9,-99,-99,166.90,103.52,54.23,53.33,76.98,7.02,35.01,27.18,70.18,6.02,6.91,16.61,14.48,50.79,1.97,76.98,40.64,59.56,62.21,81.38,103.52,100.0,41859.253033146,54.10677358065371,154.38504,153944513.0,182945785463.57602,231218911719.57397,105.079585978951,1.0121980419305,7.18438327312469,121.042588526693,55.851370141226504,34827021587.0,0.8059999999999999,98.95576008631409,0.34053156146179303,84.0,80.4,82.1560975609756,0.31063192898547803,2426140.0,2381248.0,18.270065966569398,40.6923290952421,62.946999999999996
28,Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,58.5/69.0,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3.0,27.9/16.1,2011.7/24.9,44.7,3.4,7.8,3.6,5.8,105.1/104.4,103.0/102.0,75.5/54.6,27.5,133.5,78.9,174,7.5,64.6/8.1,313,119,100.0/100.0,100.0/100.0,-99,-99,157.88,94.47,70.99,74.78,77.74,10.87,36.52,61.71,81.01,3.45,3.54,28.98,28.27,71.94,1.39,77.74,28.44,54.11,65.39,81.35,94.47,100.0,30793.6485488014,65.75526287655089,912.898,6993888.0,44080200000.0,28429900000.0,106.380697050938,2.3189868345825295,7.40746408700943,28.684321571823897,22.6665195027388,12057719000.0,0.763,27.5215154198101,0.244210526315802,84.6,80.6,82.55121951219509,4.4325638900397095,4385803.0,4327497.0,24.579623305461602,34.2926786791163,92.336
29,Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,39.2/57.8,89,89,461529,404578,56951,29348,-0.1,69.0,0.4,1.4,13.5/29.4,5788.9/9.7,216.7,3.0,9.2,3.9,4.1,100.6/101.4,101.7/104.1,72.2/53.2,31.0,151.3,65.6,359,31.4,320.4/5.4,1539,103,100.0/100.0,99.5/99.6,-99,-99,142.52,71.83,55.34,66.31,83.70,12.39,36.38,51.57,82.60,2.69,3.56,37.18,28.06,82.64,1.21,83.70,21.49,53.89,73.94,76.24,71.83,100.0,29414.346286651602,56.1884000768445,1437.245062,26288001.0,112119916109.798,114804493330.453,108.71490177435699,2.6198702410610197,8.84025916457176,30.733733319636002,20.9173561009812,32232276659.0,0.769,27.870442627655695,1.22653316645808,85.2,80.8,82.94634146341471,1.36652876351231,31121471.0,29415238.0,24.634790608368302,32.0745611389274,70.14399999999999
30,Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,48.9/69.7,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,1.4,12.9/33.4,2043.9/1.6,19.4,2.2,10.2,2.3,3.6,101.2/101.3,101.9/101.6,60.9/65.7,9.3,125.0,93.3,404,68.5,1214.0/9.6,1114,146,100.0/100.0,100.0/100.0,-99,-99,147.49,102.52,79.11,78.63,85.28,12.68,46.81,41.01,31.91,2.21,2.75,45.15,36.32,72.76,1.37,85.28,27.56,57.62,89.92,47.83,102.52,100.0,39433.5079901762,66.4554629240626,10684.573999999999,123898000.0,181994112163.05,191028067326.953,103.962703962704,4.17453025153592,10.9359331429005,17.751852271141104,24.940309296215702,106416048221.0,0.8440000000000001,16.8215858877511,0.467211747038214,87.26,81.09,84.099756097561,0.930768157014813,64853783.0,61932014.0,11.625407997913198,48.6057745782829,91.535
31,Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4.0,27.7,68.4,2.0,17.8,80.2,13.4,14.5/64.5,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,35.5/5.7,3112.0/41.0,721.4,17.1,7.5,2.6,-99,97.6/97.1,84.8/80.2,47.3/42.5,15.4,179.4,53.4,113,1.1,26.5/3.6,7,47,97.8/92.3,98.6/98.9,5.80,-99,117.47,42.27,56.86,71.92,59.22,7.96,47.76,85.73,88.42,6.48,7.23,15.43,13.84,76.63,1.30,59.22,12.51,36.83,50.19,56.19,42.27,100.0,2894.8275272608503,63.1227776186631,158.95506,3381677.0,6389295774.64789,4626619718.30986,119.329869272798,-10.5659032603487,8.119250833988191,35.1204964130456,-1.9293611294192499,83323220.0,0.562,56.353329285359706,3.32389447576096,76.05199999999999,72.628,74.292,4.841143745217691,4829775.0,4949398.0,15.026977841668902,12.6313095943544,90.74700000000001
32,Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7.0,23.8/70.6,95,95,3402,20409,-17007,-8146,6.0,87.8,3.2,1.7,23.1/12.0,1997.8/34.1,1054.2,9.2,6.4,2.4,2.6,88.3/96.6,61.0/61.5,45.7/39.5,3.1,87.1,74.0,87,13.4,24.1/4.3,7,55,99.0/99.0,80.7/80.7,2.04,-99,106.18,53.61,50.84,64.28,61.65,13.95,36.15,85.11,69.39,5.36,6.27,18.67,15.94,126.66,0.79,61.65,30.89,46.91,46.92,60.23,53.61,100.0,5665.79323227701,50.0021360068211,53.387,2879528.0,15125597884.431002,13823773941.8732,118.999307190905,-22.8335648276373,8.19554403424263,21.880324536709498,-3.1741948129041098,272165501.0,0.5379999999999999,46.4295934881725,4.32135218303198,80.786,77.031,78.833,4.59676966111758,3386334.0,3425539.0,15.3272322664641,25.5262719143953,88.429
33,Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,54.1/66.1,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,1.6,14.8/25.3,136.0/4.7,4.7,4.4,6.6,4.3,4.6,103.7/103.2,106.1/110.3,82.0/55.8,21.3,139.5,71.4,26,34.8,12.8/4.4,74,98,99.7/90.4,97.2/82.8,-99,-99,130.28,51.67,59.97,68.74,46.73,14.19,28.00,34.27,25.04,3.90,4.14,25.62,24.18,89.18,1.12,46.73,13.25,30.69,36.15,40.08,51.67,100.0,14388.794501364298,51.580488568240604,0.47200000000000003,1069268.0,9462919104.20664,5901919958.24257,112.64248975119499,0.96944893225771,6.457564234733581,73.6057866057133,21.544148322694696,2317936056.0,0.7120000000000001,71.2221455107718,3.72288862303693,80.5,70.7,75.4804878048781,1.71553862681485,1523077.0,1305326.0,16.6366224898438,16.5768029491542,67.516
34,Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,49.3/77.8,122,130,189414,168375,21039,8960,1.8,74.7,2.7,2.1,24.3/9.7,2514.2/8.3,238.6,6.5,4.2,1.3,5.0,101.9/101.7,80.7/74.6,31.8/20.8,10.4,143.9,71.1,1272,67.5,242.8/8.1,3738,118,100.0/93.0,96.1/95.9,0.00,-99,51.65,73.34,35.25,65.99,40.24,9.53,39.40,67.08,-79.43,4.07,4.05,24.60,24.66,72.87,1.37,40.24,11.19,26.32,42.44,20.87,73.34,100.0,8653.81754055216,44.462209546693295,1455.20982395985,58711937.0,37022387968.2993,42022247442.2415,119.60506582236299,2.80919895028417,3.85939814150333,70.04552188316539,32.431133935237,74136279705.0,0.622,63.173933837252704,3.8712011577424,78.008,73.903,75.828,1.11654055241519,15104524.0,16000504.0,12.95221278164,47.7170284581736,75.447
35,Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,45.5/79.5,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,26.7/10.1,1193.2/0.9,5.9,18.8,6.3,2.1,5.3,103.2/103.6,93.5/87.7,30.0/29.9,42.6,85.3,57.4,1162,34.0,480.3/3.8,8514,62,97.2/92.1,88.0/74.5,0.03,-99,129.06,60.08,49.68,70.11,29.81,6.94,41.66,66.74,60.74,6.85,6.31,14.60,15.85,86.58,1.16,29.81,8.37,19.53,28.06,25.80,60.08,100.0,7901.164712232149,51.469241270074605,928.83550977,58537832.0,27463459761.0,37265060551.0,130.197802476747,-1.7702370101286,5.516541376709941,37.689840960347794,23.104552258239302,69687047762.0,0.607,39.5042984417504,6.04145724018992,77.827,72.046,74.947,0.502372222667342,63752822.0,61024502.0,13.048923522174801,35.7564754229319,79.867
36,Netherlands,WesternEurope,41542,17036,505.2,99.0,750318,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,57.3/69.7,115,115,511714,420969,90745,65129,0.3,90.5,1.0,1.7,16.4/25.0,1979.5/11.7,116.3,3.5,10.9,3.4,5.5,104.4/105.0,136.3/134.7,82.5/74.7,38.0,123.5,93.1,40,11.1,167.3/9.9,2447,178,100.0/100.0,97.5/99.9,-99,-99,175.23,86.52,70.11,82.50,72.47,8.52,33.90,27.62,61.87,5.38,5.93,18.60,16.86,56.24,1.78,72.47,32.45,53.29,55.95,82.27,86.52,100.0,45289.3048835763,54.190741208935,5855.480475616,42763443.0,174353871463.76,166614487993.924,111.042062834942,10.813913780342801,10.1008348166943,83.391768024212,31.3479989053656,78192852335.0,0.8,72.6364431968743,1.3814587140721002,83.4,80.2,81.7609756097561,1.15852698874429,8607750.0,8523546.0,23.085541342769602,29.5563497506557,91.07700000000001
37,New Zealand,Oceania,268107,4706,17.9,96.7,173417,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,62.1/72.8,116,118,33833,36423,-2589,-5501,1.1,86.3,1.0,2.0,19.8/20.8,1039.7/23.0,1.7,4.4,11.0,2.9,6.4,99.1/99.6,119.9/113.4,96.7/71.6,34.2,121.8,88.2,199,38.6,34.7/7.7,783,207,100.0/100.0,-99,-99,-99,184.74,89.87,61.22,70.58,80.77,8.14,30.23,20.03,85.41,4.99,5.92,20.04,16.90,63.92,1.56,80.77,33.80,58.26,73.13,77.46,89.87,100.0,31778.6664061585,53.9542071417744,1335.9532054567699,16271523.0,16950151675.6521,13002353627.8465,110.65157873712099,-2.7070346661924396,9.1700553894043,27.483189440478203,24.952958105041798,564489408.0,0.767,26.3669821240799,1.85078767452532,83.4,80.0,81.65853658536591,1.2084632895300902,2436831.0,2357069.0,27.4841925397089,52.8147733894267,86.46600000000001
38,Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,61.1/68.3,103,104,89120,72473,16647,33746,1.2,80.5,1.3,1.8,17.8/22.3,741.8/14.2,73.2,2.4,9.7,4.4,7.4,100.3/100.5,111.1/114.7,91.5/62.8,39.6,113.6,96.8,64,33.2,47.6/9.2,8204,233,100.0/100.0,98.0/98.3,-99,-99,165.93,105.58,54.31,74.19,106.31,7.90,31.32,19.45,49.32,4.18,4.51,23.94,22.16,50.95,1.96,106.31,39.88,74.47,98.31,117.13,105.58,100.0,71668.66678743559,52.683567187265794,,,40502614063.1295,49724162253.0968,114.55071939191002,4.5714251083483495,10.446342080831501,36.3329956891189,31.335820854759803,4272827826.0,0.7709999999999999,32.831428951180804,1.8751005955254798,84.3,81.0,82.609756097561,1.6178237818885401,2615346.0,2661622.0,22.4775458505266,21.890553561886396,81.87100000000001
39,Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,24.8/82.5,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,34.8/6.7,3629.0/1.9,2739.4,69.8,2.6,0.8,2.6,85.2/99.7,39.2/49.5,9.2/10.6,20.6,66.9,18.0,140,2.0,166.3/0.9,2202,17,93.9/89.9,83.1/51.1,1.32,-99,93.41,39.95,45.62,59.05,27.18,12.09,38.69,80.08,42.54,4.08,3.81,24.51,26.26,156.97,0.64,27.18,5.03,16.57,24.83,21.01,39.95,70.79,1163.7250971125802,66.0921456528151,214.52857000000003,7260769.0,4499440000.0,11160061000.0,156.91134586661698,-5.31233112850804,2.89863366633654,8.2573202960672,6.812339584295219,362376598.0,0.389,17.5955165571328,4.08537368032604,67.928,66.041,66.947,3.76619210655443,100907719.0,106988967.0,,,36.442
40,Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,50.8/78.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3.0,31.7/7.6,211.9/0.2,240.2,22.2,4.7,...,...,116.9/116.8,92.7/84.4,40.3/31.4,29.5,118.1,40.7,783,26.2,105.7/1.1,991,19,93.7/90.3,77.9/70.8,0.15,-99,56.87,36.00,60.23,69.16,34.71,16.91,45.14,70.25,-44.10,3.75,3.54,26.69,28.29,162.87,0.61,34.71,7.32,21.58,33.95,19.86,36.00,93.0,2994.28192882229,57.245327105353795,753.351739,39341995.0,34812501415.6187,25844797492.5497,120.211352458706,-0.6523879267514829,4.4464077800512305,29.552290854788104,16.494985830771,33502479344.0,0.5479999999999999,38.616078887881606,2.85318772590942,75.268,66.971,70.952,1.1975353534869098,52293794.0,52879470.0,13.593793749028402,41.4692223964639,46.681999999999995
41,Poland,EasternEurope,312679,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,49.1/64.9,113,113,196455,188518,7937,-2932,-~0.0,60.5,-0.1,1.3,14.8/24.0,619.4/1.6,23.7,4.5,6.4,2.3,4.9,100.7/100.5,106.1/110.0,82.6/54.2,28.0,148.7,68.0,58,30.7,285.7/7.4,2819,102,99.3/96.9,97.5/96.7,-99,-99,150.21,71.75,68.47,61.46,38.15,10.12,34.55,50.33,62.53,4.66,5.25,21.44,19.04,73.08,1.37,38.15,13.93,26.54,29.69,31.53,71.75,100.0,13520.2490882131,46.650308179456,221.81400000000002,7376512.0,58739000000.0,38313000000.0,109.637670529558,0.0189976530034167,6.5419539809227,54.33711798470961,24.0000884710642,19261853887.0,0.747,50.1550505667426,2.07593553673862,81.8,73.9,77.7536585365854,1.8959838691023898,19565914.0,18408912.0,16.7966336760079,12.471409906448699,60.105
42,Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,53.3/63.7,104,104,55658,67580,-11922,842,-0.4,63.5,1.0,1.3,13.6/27.9,837.3/8.1,1.8,2.9,9.5,4.4,5.1,105.3/109.4,117.3/121.0,65.7/58.0,34.8,110.4,68.6,281,34.9,45.1/4.3,250,84,100.0/100.0,99.6/99.8,-99,-99,178.43,62.72,64.61,70.31,49.19,8.85,30.44,28.91,92.19,5.95,6.08,16.81,16.46,60.87,1.64,49.19,16.77,33.66,39.14,41.24,62.72,100.0,19172.4766666951,54.3800233871429,421.8294532,15937325.0,34948649028.0397,16517160294.984,109.166705134988,1.37839079896265,8.96957442164421,42.7242663980773,18.2361172685235,2816236487.0,0.7759999999999999,41.714874123494795,1.3686141164348102,84.6,78.4,81.42439024390251,1.6699769206106498,5429333.0,4870967.0,22.370587976220698,24.0191056582023,64.652
43,Qatar,WesternAsia,11607,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,53.1/93.6,154,154,57254,32058,25196,13751,6.6,99.2,6.0,2.0,13.9/2.8,1687.6/75.5,1.5,7.2,2.2,2.0,3.6,103.6/102.4,103.6/82.0,43.9/6.3,0.0,153.6,92.9,39,0.0,107.9/49.7,9166,846,100.0/100.0,98.0/98.0,-99,-99,132.37,111.28,84.30,66.14,69.20,6.19,32.97,73.29,9.26,9.49,9.19,10.54,10.88,47.11,2.12,69.20,66.81,68.06,56.09,72.73,111.28,100.0,42663.336827574196,17.2922167762509,10970.08988,29949181.0,17527197802.1978,29715109890.1099,115.85880342488899,3.84928080050031,2.60742865502834,51.04242783318521,58.388466475757895,292252.0,0.615,37.2570027319706,0.394878914083008,81.743,78.83,79.98100000000001,,662995.0,2061729.0,,,99.07799999999999
44,Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38.0,59.7,5.0,24.7,70.3,3.6,50.2/71.9,104,104,495418,406182,89236,105871,0.4,82.5,0.7,1.2,13.5/20.1,1327.3/2.6,8.0,3.0,7.4,2.2,5.1,98.7/99.3,98.4/99.3,80.2/104.8,17.0,118.5,89.9,111,63.5,587.2/11.7,2023,223,99.7/87.9,100.0/100.0,-99,-99,162.49,102.38,74.73,83.20,75.41,12.38,34.18,52.73,61.20,2.04,2.51,49.10,39.90,85.47,1.17,75.41,22.02,49.82,88.52,44.62,102.38,100.0,22899.6799642164,37.1323499276971,11511.801211,82818983.0,88720200000.0,124753100000.0,113.050800144607,4.63272557766522,7.60386362671852,40.934206940988396,37.035554101431295,166675269584.0,0.845,36.186710865653204,1.94445590723395,85.7,79.7,82.62682926829271,2.56884353517412,25632820.0,25729091.0,14.4938185341627,28.340191337644,81.503
45,Romania,EasternEurope,238391,19679,85.5,94.0,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,47.3/64.5,100,100,63581,74605,-11024,-2096,-0.6,54.6,~0.0,1.5,15.3/24.9,226.9/1.2,3.2,8.7,5.6,2.7,3.1,89.0/90.5,92.0/92.5,59.0/47.8,20.7,107.1,55.8,104,29.5,70.0/3.6,1109,68,100.0/100.0,92.2/63.3,-99,-99,143.04,53.44,72.05,53.11,35.63,10.79,31.97,50.90,64.45,4.89,4.76,20.43,20.99,83.30,1.20,35.63,9.59,23.15,29.05,30.16,53.44,100.0,8947.49984137703,49.99522537201321,2.8045,4423249.0,24570199854.841,15287952957.9184,113.946361611816,-2.7899432228983505,5.15788830816746,41.4700877973861,21.3026478626714,5558653635.0,0.601,43.594063940406706,1.33902121104396,79.1,71.7,75.30975609756099,1.71954054901384,10053129.0,9534161.0,15.491428620052499,19.7958480781778,53.93600000000001
46,Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,56.3/71.3,120,120,285491,182257,103234,69000,0.1,74.0,-0.1,1.7,17.6/21.1,11643.3/8.1,418.4,8.3,7.1,3.3,3.9,100.9/100.1,103.4/105.5,88.3/72.9,15.8,160.0,73.4,235,49.8,1705.3/11.9,54829,208,98.9/91.2,77.0/58.7,-99,-99,85.93,48.27,53.95,56.40,42.01,13.55,48.57,63.04,10.69,5.75,6.31,17.39,15.85,193.91,0.52,42.01,17.58,30.30,33.58,43.85,48.27,100.0,8827.81629757085,46.837027069056305,6845.229509999999,89373638.0,56748830000.0,87439810000.0,168.175238863746,2.06006877313944,5.3445778787136105,26.0908809797568,28.9119934845476,10483802377.0,0.7290000000000001,20.7856433573743,3.68332944412231,77.6,67.51,72.4319512195122,4.23340736959348,77546481.0,66950259.0,10.288405674018302,2.0728372755302,74.292
47,Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,20.0/78.5,96,96,182329,135904,46426,-56724,2.8,83.1,2.1,2.7,25.2/5.6,10185.9/32.3,70.2,13.0,4.7,2.6,...,111.1/107.9,93.7/122.6,61.8/64.4,19.9,176.6,69.6,131,0.5,601.0/19.5,25904,287,97.0/97.0,100.0/100.0,...,-99,146.41,138.05,76.35,60.41,48.37,2.85,36.31,74.18,17.96,7.29,8.01,13.72,12.49,21.07,4.75,48.37,14.36,32.07,40.54,30.22,138.05,99.93,14520.2110951169,39.7948324923324,867.640758,37503000.0,17446931306.6667,54304994784.6974,118.02997718146901,1.51967798314106,5.23025318980217,34.8530604740613,34.372878179752306,261725653.0,0.585,29.3421244342998,-0.838194579675057,76.487,73.671,74.874,10.2513563494886,14125194.0,18973953.0,3.38483623653337,2.02651444937161,83.62200000000001
48,Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,15.5,43.4/59.9,102,102,14852,19231,-4379,-1751,-0.4,55.6,-0.3,1.6,16.5/24.5,807.4/9.1,254.1,9.8,10.4,2.5,4.2,101.2/101.5,97.4/96.0,66.9/50.2,34.4,120.5,65.3,71,31.1,37.7/4.3,393,62,99.4/98.9,98.2/94.2,0.90,-99,133.43,40.80,61.38,53.86,33.79,17.87,29.93,55.29,82.66,3.14,3.33,31.88,30.07,142.63,0.70,33.79,7.25,21.07,24.96,27.20,40.80,100.0,5116.37695128391,50.876524160932505,7.355192,2442731.0,5943301156.75442,4802207665.47188,138.66545344252398,-5.264526002465759,8.433958142995829,50.540787909056704,13.0006287901327,396951920.0,0.755,57.1320754796352,3.13106248590119,78.1,73.1,75.5390243902439,1.95935588331478,3580264.0,3440594.0,,,55.942
